Sammelgebiet,Sammelgebiet-wikidata_id,Sammelgebiet-coordinate_location_wikidata,Sammelgebiet-coord_lat,Sammelgebiet-coord_lon,Erwähnung_start_date,Erwähnung_start_anmerkung,Erwähnung_end_date,Erwähnung_end_anmerkung,Name,ID EM
Java (Indonesien),Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444,1830-01-01T00:00:00Z,,1849-01-01T00:00:00Z,,"Lützow, von",407124
Südafrika,Q258,"-29,24",-29,24,1838-09-13T00:00:00Z,Erwerbungsvorgang,1838-10-22T00:00:00Z,Erwerbungsvorgang,"Eisenstein, C.",109362
Indonesien,Q252,"-2,118",-2,118,1850-01-01T00:00:00Z,,1853-01-01T00:00:00Z,,"Rodenburg, C.",888
Delaware,Q1393,"39,-75.5",39,-75.5,1852-01-01T00:00:00Z,Erwerbungsvorgang,1852-01-01T00:00:00Z,Erwerbungsvorgang,"Sommer, C.H.",2092
Guinea (afrikanische Westküste),Q207887,"6.596835,1.243047",6.596835,1.243047,1852-01-01T00:00:00Z,Erwerbungsvorgang,1852-01-01T00:00:00Z,Erwerbungsvorgang,"Sommer, C.H.",2092
Grönland,Q223,"72,-40",72,-40,1852-01-01T00:00:00Z,Erwerbungsvorgang,1852-01-01T00:00:00Z,Erwerbungsvorgang,"Sommer, C.H.",2092
Sunda-Inseln,Q154190,"-2,11",-2,110,1853-09-01T00:00:00Z,Erwähnung im Zeitungsartikel,1853-09-01T00:00:00Z,Erwähnung im Zeitungsartikel,"Res, F.W. van",354662
Bengalen,Q80338,"23.9888,88.7311",23.9888,88.7311,1857-01-01T00:00:00Z,"Erwerbungsvorgang, Korrespondenz",1857-01-01T00:00:00Z,"Erwerbungsvorgang, Korrespondenz","Ansorge, Hermann",320080
Yukatan,Q60176,"21,-89.6",21,-89.6,1869-01-01T00:00:00Z,dat. des Katalogs zur Sammlung,1881-01-01T00:00:00Z,Erwerbungsvorgang,"Jimeno, Florentino",285
Grönland,Q223,"72,-40",72,-40,1869-01-01T00:00:00Z,Objekte gesammelt,1900-01-01T00:00:00Z,Erwerbungsvorgang,Hegemann,355863
Japan,Q17,"35,136",35,136,1870-01-01T00:00:00Z,,1922-01-01T00:00:00Z,Erwerbungsvorgang,Friemen Alex.,403995
Java (Indonesien),Q3757,"-7.4916666666667,110.00444444444",-7.4916666666667,110.00444444444,1871-11-14T00:00:00Z,Korrespondenz,1882-01-01T00:00:00Z,Erwähnung in der Korrespondenz (Erwerbungsvorgang),"Dieduksmann, Jakob A.",357140
Indonesien [...],Q252,"-2,118",-2,118,1872-01-01T00:00:00Z,Erwerbungsvorgang,1872-01-01T00:00:00Z,Erwerbungsvorgang,"Meyer, Adolf Bernhard",9146
Brasilien,Q155,"-14,-53",-14,-53,1873-01-01T00:00:00Z,Erwerbungsvorgänge,1874-01-01T00:00:00Z,Erwerbungsvorgänge,Plöger,2026
"Fiji, Neu-Kaledonien, Salomon-Inseln [...]",Q712,"-18,178",-18,178,1874-01-01T00:00:00Z,Korrespondenz,1933-01-01T00:00:00Z,Erwerbungsvorgang,Völkerkundliches Museum Johann Friedrich Gustav Umlauff,105626
Myanmar (Birma/Burma),Q836,"22,96",22,96,1874-01-01T00:00:00Z,Zeitpunkt Reise Jagor,1897-01-01T00:00:00Z,Erwerbungsvorgang,Marfels <Dr.>,381542
Persien,Q83311,"33,53",33,53,1874-01-01T00:00:00Z,Erwerbungsvorgang (?),1874-01-01T00:00:00Z,Erwerbungsvorgang (?),Jungfer A.,2303
Japan,Q17,"35,136",35,136,1875-01-01T00:00:00Z,,1891-01-01T00:00:00Z,,Toselowski,1661
"Gebiet, Chanchamayo",Q765311,"-11.054386111111,-75.329036111111",-11.054386111111,-75.329036111111,1875-01-01T00:00:00Z,Erwähnung im Aktenvorgang,1889-01-01T00:00:00Z,Erwerbungsvorgänge,"Macedo, José Mariano",378
Peru,Q419,"-9.4,-76",-9.4,-76,1875-01-01T00:00:00Z,Erwähnung im Aktenvorgang,1889-01-01T00:00:00Z,Erwerbungsvorgang,"Heeren, von d.",233
Peru,Q419,"-9.4,-76",-9.4,-76,1875-01-01T00:00:00Z,Erwähnung im Aktenvorgang,1889-01-01T00:00:00Z,Erwerbungsvorgänge,"Macedo, José Mariano",378
Libysche Wüste,Q181528,"24,25",24,25,1876-01-01T00:00:00Z,Erwerbungsvorgang,1905-01-01T00:00:00Z,"Korrespondenz (Aktenvorgang), unsicher","Ascherson, Paul",2605
