em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
Aachen,Aachen,Q1017,"50.776207,6.083788",50.776207,6.083788
Aberdeen (Schottland),Aberdeen,Q36405,"57.15,-2.1",57.15,-2.1
Abessinien,Ethiopian Empire,Q207521,"12.6,37.46666666666667",12.6,37.46666666666667
Abessinien (Äthiopien),Ethiopian Empire,Q207521,"12.6,37.46666666666667",12.6,37.46666666666667
Abessinien [...],Ethiopian Empire,Q207521,"12.6,37.46666666666667",12.6,37.46666666666667
Abomey,Abomey,Q189685,"7.1852777777778,1.9913888888889",7.1852777777778,1.9913888888889
Acapulco (Mexiko),Acapulco de Juárez,Q81398,"16.8628695,-99.8870087",16.8628695,-99.8870087
,,,"16.86336,-99.8901",16.86336,-99.8901
Adamaua (Kamerun),Adamawa,Q351514,"7.3213888888889,13.583888888889",7.3213888888889,13.583888888889
Adamawa,Adamawa Emirate,Q775550,"9.15,10",9.15,10
Adi Laie  (Eritrea),Eritrea,Q986,"15.483333,38.25",15.483333,38.25
Admiralitäts-Inseln,Admiralty Islands,Q119230,"-2.1,146.95",-2.1,146.95
Afghanistan,Kingdom of Afghanistan,Q1138904,"33,65",33,65
Afrika,Africa,Q15,"0,15",0,15
"Afrika (Oberer Nil, Tripolis)",Upper Nile,Q487702,"9.533333333333333,32.666666666666664",9.533333333333333,32.666666666666664
Afrika-Westküste,Guinea,Q207887,"6.596835,1.243047",6.596835,1.243047
"Afrika, Bornu",Bornu Empire,Q894030,"13.047222,12.227778",13.047222,12.227778
"Afrika, Kabylen",Kabylia,Q46178,"36.6,5",36.6,5
"Afrika, Table Bay",Robben Island,Q192493,"-33.805,18.37",-33.805,18.37
Ägypten,Kingdom of Egypt,Q124943,"30.05,31.216666666666665",30.05,31.216666666666665
"Ägypten, Nubien",Nubia,Q135028,"18.9508,32.2558",18.9508,32.2558
Ailinglap (Marshall-Inseln),Ailinglaplap Atoll,Q405165,"7.5,168.73333333333",7.5,168.73333333333
Ainu (Yezo),Hokkaido,Q35581,"43.46055555555556,142.79222222222222",43.46055555555556,142.79222222222222
Alaska,Alaska,Q797,"64,-150",64,-150
Alaska [...],Alaska,Q797,"64,-150",64,-150
Albuquerque [...],Albuquerque,Q34804,"35.08444444444444,-106.65027777777777",35.08444444444444,-106.65027777777777
Alegria Enfield,Alegria Enfield,,,,
Aleppo (Syrien),Aleppo,Q41183,"36.2,37.16",36.2,37.16
Alexishafen,Alexishaven,Q1626709,"-5.08333333,145.8",-5.08333333,145.8
Alfeld (Leine),Alfeld (Leine),Q486543,"51.988611111111,9.8269444444444",51.988611111111,9.8269444444444
Algier,Algiers,Q3561,"36.776388888889,3.0586111111111",36.776388888889,3.0586111111111
Alkersleben,Alkersleben,Q557075,"50.846666666667,11.0425",50.846666666667,11.0425
Allahabad (Indien),Prayagraj,Q162442,"25.45,81.85",25.45,81.85
Alt-Wallmoden (bei Hildesheim),Alt Wallmoden,Q31876689,"52.01933,10.30294",52.01933,10.30294
Altona,Altona,Q1630,"53.55,9.9333",53.55,9.9333
am Kilimandjaro,Mount Kilimanjaro,Q7296,"-3.0666666666667,37.359166666667",-3.0666666666667,37.359166666667
Amam [...],Amam,Q4739447,,,
Amazonas (Brasilien),Amazonas,Q40040,"-3.9833333333333334,-64.63333333333334",-3.9833333333333334,-64.63333333333334
Amazonien,Amazonia,Q2841453,"-3.1,-60.016388888889",-3.1,-60.016388888889
"Amoy (China, heutiges Xiamen)",Xiamen,Q68744,"24.479722222222,118.08194444444",24.479722222222,118.08194444444
Amoy (Xiamen),Xiamen Island,Q15928468,"24.49722222,118.13194444",24.49722222,118.13194444
Amsterdam,Amsterdam,Q727,"52.36666666666667,4.883333333333333",52.36666666666667,4.883333333333333
Amsterdam (Niederlande),Amsterdam,Q727,"52.36666666666667,4.883333333333333",52.36666666666667,4.883333333333333
an den Banjo-Bergen (bei Banjo/Banyo),Banyo,Q520600,"6.7480555555556,11.805833333333",6.7480555555556,11.805833333333
Ancon,Ancón,Q2143655,"8.97,-79.55",8.97,-79.55
Andalgalá (Argentinien),Andalgalá,Q489679,"-27.6,-66.316666666667",-27.6,-66.316666666667
Andamanen,Andaman Islands,Q186233,"12.5,92.75",12.5,92.75
Andolsheim (Oberelsass),Andolsheim,Q325717,"48.0625,7.4169444444444",48.0625,7.4169444444444
"Andrew, Alberta (Canada/Kanda)",Andrew,Q1764983,"53.8802,-112.332",53.8802,-112.332
